id,cycle,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21
1,1,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,2,361,361,361,361,361,361,361,361,361,361,361,361,361,361
1,3,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1,4,328,328,328,328,328,328,328,328,328,328,328,328,328,328
1,5,305,305,305,305,305,305,305,305,305,305,305,305,305,305
1,6,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,7,391,391,391,391,391,391,391,391,391,391,391,391,391,391
1,8,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1,9,328,328,328,328,328,328,328,328,328,328,328,328,328,328
1,10,305,305,305,305,305,305,305,305,305,305,305,305,305,305
1,11,363,363,363,363,363,363,363,363,363,363,363,363,363,363
1,12,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,13,305,305,305,305,305,305,305,305,305,305,305,305,305,305
1,14,364,364,364,364,364,364,364,364,364,364,364,364,364,364
1,15,304,304,304,304,304,304,304,304,304,304,304,304,304,304
1,16,361,361,361,361,361,361,361,361,361,361,361,361,361,361
1,17,368,368,368,368,368,368,368,368,368,368,368,368,368,368
1,18,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1,19,363,363,363,363,363,363,363,363,363,363,363,363,363,363
1,20,363,363,363,363,363,363,363,363,363,363,363,363,363,363
1,21,390,390,390,390,390,390,390,390,390,390,390,390,390,390
1,22,363,363,363,363,363,363,363,363,363,363,363,363,363,363
1,23,390,390,390,390,390,390,390,390,390,390,390,390,390,390
1,24,303,303,303,303,303,303,303,303,303,303,303,303,303,303
1,25,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1,26,363,363,363,363,363,363,363,363,363,363,363,363,363,363
1,27,367,367,367,367,367,367,367,367,367,367,367,367,367,367
1,28,390,390,390,390,390,390,390,390,390,390,390,390,390,390
1,29,305,305,305,305,305,305,305,305,305,305,305,305,305,305
1,30,362,362,362,362,362,362,362,362,362,362,362,362,362,362
1,31,361,361,361,361,361,361,361,361,361,361,361,361,361,361
1,32,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,33,328,328,328,328,328,328,328,328,328,328,328,328,328,328
1,34,333,333,333,333,333,333,333,333,333,333,333,333,333,333
1,35,367,367,367,367,367,367,367,367,367,367,367,367,367,367
1,36,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1,37,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,38,390,390,390,390,390,390,390,390,390,390,390,390,390,390
1,39,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,40,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,41,305,305,305,305,305,305,305,305,305,305,305,305,305,305
1,42,304,304,304,304,304,304,304,304,304,304,304,304,304,304
1,43,305,305,305,305,305,305,305,305,305,305,305,305,305,305
1,44,306,306,306,306,306,306,306,306,306,306,306,306,306,306
1,45,306,306,306,306,306,306,306,306,306,306,306,306,306,306
1,46,389,389,389,389,389,389,389,389,389,389,389,389,389,389
1,47,306,306,306,306,306,306,306,306,306,306,306,306,306,306
