id,cycle,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21
1,1,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,2,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,3,309,309,309,309,309,309,309,309,309,309,309,309,309,309
1,4,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1,5,309,309,309,309,309,309,309,309,309,309,309,309,309,309
1,6,306,306,306,306,306,306,306,306,306,306,306,306,306,306
1,7,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,8,365,365,365,365,365,365,365,365,365,365,365,365,365,365
1,9,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,10,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1,11,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,12,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,13,365,365,365,365,365,365,365,365,365,365,365,365,365,365
1,14,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,15,369,369,369,369,369,369,369,369,369,369,369,369,369,369
1,16,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,17,307,307,307,307,307,307,307,307,307,307,307,307,307,307
1,18,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,19,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,20,366,366,366,366,366,366,366,366,366,366,366,366,366,366
1,21,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,22,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,23,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,24,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,25,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,26,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,27,308,308,308,308,308,308,308,308,308,308,308,308,308,308
1,28,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,29,390,390,390,390,390,390,390,390,390,390,390,390,390,390
1,30,365,365,365,365,365,365,365,365,365,365,365,365,365,365
1,31,368,368,368,368,368,368,368,368,368,368,368,368,368,368
1,32,369,369,369,369,369,369,369,369,369,369,369,369,369,369
1,33,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,34,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,35,368,368,368,368,368,368,368,368,368,368,368,368,368,368
1,36,307,307,307,307,307,307,307,307,307,307,307,307,307,307
1,37,369,369,369,369,369,369,369,369,369,369,369,369,369,369
1,38,306,306,306,306,306,306,306,306,306,306,306,306,306,306
1,39,307,307,307,307,307,307,307,307,307,307,307,307,307,307
1,40,370,370,370,370,370,370,370,370,370,370,370,370,370,370
1,41,307,307,307,307,307,307,307,307,307,307,307,307,307,307
1,42,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,43,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,44,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,45,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,46,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,47,371,371,371,371,371,371,371,371,371,371,371,371,371,371
1,48,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,49,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,50,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,51,306,306,306,306,306,306,306,306,306,306,306,306,306,306
1,52,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,53,371,371,371,371,371,371,371,371,371,371,371,371,371,371
1,54,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,55,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,56,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,57,365,365,365,365,365,365,365,365,365,365,365,365,365,365
1,58,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,59,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,60,308,308,308,308,308,308,308,308,308,308,308,308,308,308
1,61,367,367,367,367,367,367,367,367,367,367,367,367,367,367
1,62,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,63,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,64,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,65,394,394,394,394,394,394,394,394,394,394,394,394,394,394
1,66,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,67,372,372,372,372,372,372,372,372,372,372,372,372,372,372
1,68,394,394,394,394,394,394,394,394,394,394,394,394,394,394
1,69,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,70,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,71,365,365,365,365,365,365,365,365,365,365,365,365,365,365
1,72,307,307,307,307,307,307,307,307,307,307,307,307,307,307
1,73,308,308,308,308,308,308,308,308,308,308,308,308,308,308
1,74,366,366,366,366,366,366,366,366,366,366,366,366,366,366
1,75,308,308,308,308,308,308,308,308,308,308,308,308,308,308
1,76,308,308,308,308,308,308,308,308,308,308,308,308,308,308
1,77,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,78,308,308,308,308,308,308,308,308,308,308,308,308,308,308
1,79,333,333,333,333,333,333,333,333,333,333,333,333,333,333
1,80,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,81,366,366,366,366,366,366,366,366,366,366,366,366,366,366
1,82,395,395,395,395,395,395,395,395,395,395,395,395,395,395
1,83,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,84,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,85,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,86,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,87,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,88,335,335,335,335,335,335,335,335,335,335,335,335,335,335
1,89,369,369,369,369,369,369,369,369,369,369,369,369,369,369
1,90,396,396,396,396,396,396,396,396,396,396,396,396,396,396
1,91,308,308,308,308,308,308,308,308,308,308,308,308,308,308
1,92,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,93,366,366,366,366,366,366,366,366,366,366,366,366,366,366
1,94,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,95,335,335,335,335,335,335,335,335,335,335,335,335,335,335
1,96,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,97,329,329,329,329,329,329,329,329,329,329,329,329,329,329
1,98,395,395,395,395,395,395,395,395,395,395,395,395,395,395
1,99,369,369,369,369,369,369,369,369,369,369,369,369,369,369
1,100,367,367,367,367,367,367,367,367,367,367,367,367,367,367
1,101,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,102,334,334,334,334,334,334,334,334,334,334,334,334,334,334
1,103,366,366,366,366,366,366,366,366,366,366,366,366,366,366
1,104,335,335,335,335,335,335,335,335,335,335,335,335,335,335
1,105,364,364,364,364,364,364,364,364,364,364,364,364,364,364
1,106,394,394,394,394,394,394,394,394,394,394,394,394,394,394
1,107,337,337,337,337,337,337,337,337,337,337,337,337,337,337
1,108,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,109,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,110,368,368,368,368,368,368,368,368,368,368,368,368,368,368
1,111,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1,112,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,113,392,392,392,392,392,392,392,392,392,392,392,392,392,392
1,114,335,335,335,335,335,335,335,335,335,335,335,335,335,335
1,115,368,368,368,368,368,368,368,368,368,368,368,368,368,368
1,116,309,309,309,309,309,309,309,309,309,309,309,309,309,309
1,117,309,309,309,309,309,309,309,309,309,309,309,309,309,309
1,118,335,335,335,335,335,335,335,335,335,335,335,335,335,335
1,119,307,307,307,307,307,307,307,307,307,307,307,307,307,307
1,120,335,335,335,335,335,335,335,335,335,335,335,335,335,335
1,121,371,371,371,371,371,371,371,371,371,371,371,371,371,371
1,122,395,395,395,395,395,395,395,395,395,395,395,395,395,395
1,123,366,366,366,366,366,366,366,366,366,366,366,366,366,366
1,124,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,125,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,126,372,372,372,372,372,372,372,372,372,372,372,372,372,372
1,127,372,372,372,372,372,372,372,372,372,372,372,372,372,372
1,128,396,396,396,396,396,396,396,396,396,396,396,396,396,396
1,129,370,370,370,370,370,370,370,370,370,370,370,370,370,370
1,130,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,131,308,308,308,308,308,308,308,308,308,308,308,308,308,308
1,132,366,366,366,366,366,366,366,366,366,366,366,366,366,366
1,133,331,331,331,331,331,331,331,331,331,331,331,331,331,331
1,134,335,335,335,335,335,335,335,335,335,335,335,335,335,335
1,135,370,370,370,370,370,370,370,370,370,370,370,370,370,370
1,136,367,367,367,367,367,367,367,367,367,367,367,367,367,367
1,137,367,367,367,367,367,367,367,367,367,367,367,367,367,367
1,138,371,371,371,371,371,371,371,371,371,371,371,371,371,371
1,139,332,332,332,332,332,332,332,332,332,332,332,332,332,332
1,140,338,338,338,338,338,338,338,338,338,338,338,338,338,338
1,141,339,339,339,339,339,339,339,339,339,339,339,339,339,339
1,142,367,367,367,367,367,367,367,367,367,367,367,367,367,367
1,143,335,335,335,335,335,335,335,335,335,335,335,335,335,335
1,144,395,395,395,395,395,395,395,395,395,395,395,395,395,395
1,145,338,338,338,338,338,338,338,338,338,338,338,338,338,338
1,146,372,372,372,372,372,372,372,372,372,372,372,372,372,372
1,147,310,310,310,310,310,310,310,310,310,310,310,310,310,310
1,148,397,397,397,397,397,397,397,397,397,397,397,397,397,397
1,149,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,1,393,393,393,393,393,393,393,393,393,393,393,393,393,393
2,2,334,334,334,334,334,334,334,334,334,334,334,334,334,334
2,3,393,393,393,393,393,393,393,393,393,393,393,393,393,393
2,4,331,331,331,331,331,331,331,331,331,331,331,331,331,331
2,5,391,391,391,391,391,391,391,391,391,391,391,391,391,391
2,6,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2,7,369,369,369,369,369,369,369,369,369,369,369,369,369,369
2,8,392,392,392,392,392,392,392,392,392,392,392,392,392,392
2,9,368,368,368,368,368,368,368,368,368,368,368,368,368,368
2,10,305,305,305,305,305,305,305,305,305,305,305,305,305,305
2,11,368,368,368,368,368,368,368,368,368,368,368,368,368,368
2,12,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,13,330,330,330,330,330,330,330,330,330,330,330,330,330,330
2,14,392,392,392,392,392,392,392,392,392,392,392,392,392,392
2,15,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,16,393,393,393,393,393,393,393,393,393,393,393,393,393,393
2,17,368,368,368,368,368,368,368,368,368,368,368,368,368,368
2,18,329,329,329,329,329,329,329,329,329,329,329,329,329,329
2,19,334,334,334,334,334,334,334,334,334,334,334,334,334,334
2,20,334,334,334,334,334,334,334,334,334,334,334,334,334,334
2,21,331,331,331,331,331,331,331,331,331,331,331,331,331,331
2,22,330,330,330,330,330,330,330,330,330,330,330,330,330,330
2,23,333,333,333,333,333,333,333,333,333,333,333,333,333,333
2,24,365,365,365,365,365,365,365,365,365,365,365,365,365,365
2,25,330,330,330,330,330,330,330,330,330,330,330,330,330,330
2,26,330,330,330,330,330,330,330,330,330,330,330,330,330,330
2,27,308,308,308,308,308,308,308,308,308,308,308,308,308,308
2,28,330,330,330,330,330,330,330,330,330,330,330,330,330,330
2,29,391,391,391,391,391,391,391,391,391,391,391,391,391,391
2,30,329,329,329,329,329,329,329,329,329,329,329,329,329,329
2,31,366,366,366,366,366,366,366,366,366,366,366,366,366,366
2,32,331,331,331,331,331,331,331,331,331,331,331,331,331,331
2,33,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2,34,394,394,394,394,394,394,394,394,394,394,394,394,394,394
2,35,395,395,395,395,395,395,395,395,395,395,395,395,395,395
2,36,331,331,331,331,331,331,331,331,331,331,331,331,331,331
2,37,366,366,366,366,366,366,366,366,366,366,366,366,366,366
2,38,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2,39,368,368,368,368,368,368,368,368,368,368,368,368,368,368
2,40,333,333,333,333,333,333,333,333,333,333,333,333,333,333
2,41,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,42,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,43,333,333,333,333,333,333,333,333,333,333,333,333,333,333
2,44,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2,45,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2,46,393,393,393,393,393,393,393,393,393,393,393,393,393,393
2,47,333,333,333,333,333,333,333,333,333,333,333,333,333,333
2,48,308,308,308,308,308,308,308,308,308,308,308,308,308,308
2,49,391,391,391,391,391,391,391,391,391,391,391,391,391,391
2,50,390,390,390,390,390,390,390,390,390,390,390,390,390,390
2,51,393,393,393,393,393,393,393,393,393,393,393,393,393,393
2,52,306,306,306,306,306,306,306,306,306,306,306,306,306,306
2,53,370,370,370,370,370,370,370,370,370,370,370,370,370,370
2,54,308,308,308,308,308,308,308,308,308,308,308,308,308,308
2,55,365,365,365,365,365,365,365,365,365,365,365,365,365,365
2,56,366,366,366,366,366,366,366,366,366,366,366,366,366,366
2,57,365,365,365,365,365,365,365,365,365,365,365,365,365,365
2,58,331,331,331,331,331,331,331,331,331,331,331,331,331,331
2,59,392,392,392,392,392,392,392,392,392,392,392,392,392,392
2,60,365,365,365,365,365,365,365,365,365,365,365,365,365,365
2,61,330,330,330,330,330,330,330,330,330,330,330,330,330,330
2,62,330,330,330,330,330,330,330,330,330,330,330,330,330,330
2,63,334,334,334,334,334,334,334,334,334,334,334,334,334,334
2,64,306,306,306,306,306,306,306,306,306,306,306,306,306,306
2,65,306,306,306,306,306,306,306,306,306,306,306,306,306,306
2,66,331,331,331,331,331,331,331,331,331,331,331,331,331,331
2,67,306,306,306,306,306,306,306,306,306,306,306,306,306,306
2,68,363,363,363,363,363,363,363,363,363,363,363,363,363,363
2,69,307,307,307,307,307,307,307,307,307,307,307,307,307,307
2,70,307,307,307,307,307,307,307,307,307,307,307,307,307,307
2,71,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,72,365,365,365,365,365,365,365,365,365,365,365,365,365,365
2,73,392,392,392,392,392,392,392,392,392,392,392,392,392,392
2,74,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2,75,333,333,333,333,333,333,333,333,333,333,333,333,333,333
2,76,365,365,365,365,365,365,365,365,365,365,365,365,365,365
2,77,369,369,369,369,369,369,369,369,369,369,369,369,369,369
2,78,364,364,364,364,364,364,364,364,364,364,364,364,364,364
2,79,393,393,393,393,393,393,393,393,393,393,393,393,393,393
2,80,393,393,393,393,393,393,393,393,393,393,393,393,393,393
2,81,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,82,369,369,369,369,369,369,369,369,369,369,369,369,369,369
2,83,335,335,335,335,335,335,335,335,335,335,335,335,335,335
2,84,305,305,305,305,305,305,305,305,305,305,305,305,305,305
2,85,365,365,365,365,365,365,365,365,365,365,365,365,365,365
2,86,392,392,392,392,392,392,392,392,392,392,392,392,392,392
2,87,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,88,307,307,307,307,307,307,307,307,307,307,307,307,307,307
2,89,308,308,308,308,308,308,308,308,308,308,308,308,308,308
2,90,332,332,332,332,332,332,332,332,332,332,332,332,332,332
2,91,307,307,307,307,307,307,307,307,307,307,307,307,307,307
2,92,331,331,331,331,331,331,331,331,331,331,331,331,331,331
